name,pricing/rate/amount,address,location/lat,location/lng,url
Khloe Casa Del Yunque Luxury Villa w Private Pool.,487,"Mameyes II, Río Grande, Puerto Rico",18.35357,-65.77281,https://www.airbnb.com/rooms/54254028
STUNNING 6BR PENTHOUSE ON ISLA VERDE BEACH,1051,"Carolina, Puerto Rico",18.44339,-66.02057,https://www.airbnb.com/rooms/15286409
"Vacation and Destination Wedding Villa, Sleeps 50!",1936,"Isabela, Puerto Rico",18.44356,-67.04935,https://www.airbnb.com/rooms/52673989
Beachfront 3 BR 2 Bath apartment w/parking,525,"Carolina, Puerto Rico",18.44399,-66.02556,https://www.airbnb.com/rooms/51641332
Los Arcos The Most Coveted Vieques Estate,971,"Vieques, PR, Puerto Rico",18.101,-65.486,https://www.airbnb.com/rooms/20744798
"Casa del Mar Beach House, Infinity Pool, View",850,"Yabucoa, Puerto Rico",18.02242,-65.83363,https://www.airbnb.com/rooms/43791766
Costa Paraíso  Beach House,879,"Carrizal, Aguada, Puerto Rico",18.40102,-67.18864,https://www.airbnb.com/rooms/37863037
Jobos  Beach House,1250,"isabela, Isabela, Puerto Rico",18.51379,-67.07995,https://www.airbnb.com/rooms/4377096
6 BR Beachfront Gem & Private Pool Gated!,900,"Aguada, Puerto Rico",18.3995,-67.1871,https://www.airbnb.com/rooms/31683992
Urban Beach Hideaway...a luxury family compound!,999,"San Juan, Puerto Rico",18.45317,-66.05828,https://www.airbnb.com/rooms/41284317
Casa Grande Private Pool Ocean View,479,"Aguadilla Pueblo, Aguadilla, Puerto Rico",18.449,-67.15845,https://www.airbnb.com/rooms/52881232
Casa Saffra @ La Placita 4&5,820,"San Juan, Puerto Rico",18.4499,-66.06996,https://www.airbnb.com/rooms/40375437
Mountain Ranch 7 Bedroom Nature lovers with pool,950,"Fajardo, Puerto Rico",18.31585,-65.66901,https://www.airbnb.com/rooms/53064364
Luxurious San Juan Villa w/ Pool - Walk to Beach!,1255,"San Juan, Puerto Rico, United States",18.454,-66.075,https://www.airbnb.com/rooms/20759450
"Ocean Front 8-Bed Villa with Views, Pool & Beach",598,"Río Grande, Puerto Rico",18.41162,-65.77026,https://www.airbnb.com/rooms/35644284
Steps to the Beach★3BR/3BA★Own Pool★BBQ★Parking,410,"San Juan, Puerto Rico",18.452,-66.057,https://www.airbnb.com/rooms/13762736
